date,open,close,high,low,volume,amount
2006-01-23,993.74,996.16,997.33,989.34,22546019.0,22459442287.04
2006-01-24,997.79,999.09,1006.15,993.39,24197991.0,24175970828.190002
2006-01-25,998.84,1009.6,1009.65,989.51,21800758.0,22010045276.8
2006-02-06,1013.43,1033.23,1033.35,1012.81,25038771.0,25870809360.33
2006-02-07,1034.68,1029.94,1038.5,1019.94,32954787.0,33941453322.780003
2006-02-08,1028.44,1033.07,1033.4,1022.94,26986729.0,27879180128.03
2006-02-09,1033.19,1019.6,1033.19,1017.05,23839601.0,24306857179.600002
2006-02-10,1019.42,1032.34,1032.6,1018.48,22024453.0,22736723810.019997
2006-02-13,1034.38,1031.61,1034.64,1021.84,22157298.0,22857690189.78
2006-02-14,1032.65,1038.53,1038.81,1030.46,18556220.0,19271191156.6
2006-02-15,1040.33,1041.66,1048.34,1038.74,24784628.0,25817155602.480003
2006-02-16,1041.67,1020.12,1041.67,1019.21,26159892.0,26686229027.04
2006-02-17,1020.06,1020.37,1028.57,1015.99,21026875.0,21455192443.75
2006-02-20,1020.74,1021.64,1030.05,1020.02,18818883.0,19226123628.12
2006-02-21,1020.98,1038.82,1038.94,1014.66,23678039.0,24597220473.98
2006-02-22,1039.65,1037.89,1046.45,1036.38,25380704.0,26342378874.56
2006-02-23,1038.25,1041.37,1041.59,1029.25,19785037.0,20603543980.69
2006-02-24,1041.97,1049.44,1049.69,1041.97,19676104.0,20648890581.760002
2006-02-27,1055.95,1047.85,1057.22,1045.97,22872099.0,23966528937.149998
2006-02-28,1046.71,1053.01,1053.72,1033.66,19353267.0,20379183683.67
2006-03-01,1051.76,1056.62,1057.69,1049.64,19425730.0,20525614832.6
2006-03-02,1055.86,1038.67,1056.05,1034.68,24877861.0,25839887884.870003
2006-03-03,1037.99,1041.68,1043.42,1029.56,21200539.0,22084177465.52
2006-03-06,1041.75,1038.87,1044.42,1036.11,17870963.0,18565607331.809998
2006-03-07,1037.93,1014.97,1037.98,1013.14,19336516.0,19625983644.52
2006-03-08,1012.58,1009.27,1014.97,999.93,17463055.0,17624937519.85
2006-03-09,1006.97,1004.34,1010.91,1002.2,12735099.0,12790369329.66
2006-03-10,1004.75,1008.9,1011.76,1004.69,11887983.0,11993786048.699999
2006-03-13,1008.8,1019.86,1020.88,1008.51,11765911.0,11999581992.460001
2006-03-14,1020.47,1018.27,1021.65,1012.11,11348030.0,11555358508.1
2006-03-15,1018.15,1028.96,1028.97,1017.08,14842068.0,15271894289.28
2006-03-16,1028.96,1027.62,1029.81,1025.52,14784339.0,15192682443.179998
2006-03-17,1027.64,1024.02,1029.56,1021.08,15001924.0,15362270214.48
2006-03-20,1024.5,1037.66,1037.91,1019.65,15389912.0,15969496085.920002
